Sentence,Option 1,Option 2,Option 3,Option 4,Correct answer,Meaning 1,Meaning 2,Meaning 3,Meaning 4
彼は責任を____しめた態度で、仕事を最後までやりとげた。,きっちり,きっかり,くっきり,じっくり,きっちり,precisely; tightly; exactly,exactly (especially time; amount),clearly; distinctly (usually visual),carefully; deliberately; thoroughly
彼は強敵にも____戦う姿勢を崩さなかった。,あえて,以って,まして,努めて,あえて,daringly; boldly; intentionally,by means of; with (formal or archaic),let alone; not to mention,as much as possible; to the best of one’s ability
熱で一日中____(する)だけで、何も手につかなかった。,ふらふら,ぶらぶら,ぺらぺら,べらべら,ふらふら,unsteadily; dizzily; staggeringly,idly; wandering aimlessly; dangling,fluently (language); thin; flimsy (paper; cloth),nonstop talking; chattering
彼は____いやそうに仕事を引き受けた。,さも,いかに,どうにか,もっぱら,さも,as if; truly; really,how; in what way; how much,somehow; in some way,solely; exclusively; mainly
彼はその条件を____受け入れた。,あっさり,うんざり,げっそり,じっくり,あっさり,easily; readily; without resistance,fed up; sick of,being disheartened; losing weight drastically,carefully; thoroughly; without rushing
彼は先生の前で____していた。,おどおど ,いやいや,ぐすぐす,だらだら,おどおど ,nervously; timidly,reluctantly; unwillingly,hesitantly; lingering; sniffling,idly; sluggishly; slowly without purpose
この中から____選ぶなら、これが一番いい。,しいて,たとえ,まさに,ひいては,しいて,if forced to; if one must,even if; supposing,exactly; surely; just,not only... but also; consequently
彼は____説明もしないで立ち去ってしまった。,ろくに,まして,せめて,やけに,ろくに,properly; sufficiently,let alone; not to mention,at least,awfully; excessively
____秋らしい装いで彼女が現れた。,いかにも,つとめて,とかく,まるで,いかにも,indeed; just like; typically,as much as possible; intentionally,anyway; tend to; frequently,just like; as if
彼は誘いを____断った。,きっぱりと,がっくりと,きっかりと,くっきりと,きっぱりと,clearly; flatly; decisively,dejectedly; disappointedly,exactly; precisely,distinctly; clearly (visually)
不況の影響で、店の売り上げが____落ち込んでいる。,のきなみ,いまさら,ひたすら,ひいては,のきなみ,across the board; all around; uniformly,at this (late) stage; now (after all this time),earnestly; intently; single-mindedly,consequently; in turn; ultimately
彼のズボンは____だったので、何度もずり落ちそうになっていた。,だぶだぶ,ふらふら,のろのろ,ぺこぺこ,だぶだぶ,baggy; loose,dizzy; unsteady on one's feet,slowly; sluggishly,hungry; starving; also bowing repeatedly
高い場所で子どもが遊んでいるのを見て、____(している)親の顔がこわばっていた。,はらはら,おどおど,しみじみ,ぽつぽつ,はらはら,anxious; nervous; uneasy,timidly; fearfully,deeply; keenly; sincerely,bit by bit; gradually; sporadically
同じミスを何度も繰り返してしまい、____いやになった自分にがっかりした。,つくづく,わざわざ,ぞくぞくと,くれぐれも,つくづく,deeply; keenly; thoroughly,expressly; specially; going out of one’s way,shivering; feeling chills; thrilled,earnestly; sincerely; repeatedly (requesting)
彼がまた遅刻してきたが、____そんなことだろうと思ったので驚かなかった。,大方,きわめて,なかなか,とうてい,大方,mostly; for the most part; probably,extremely; exceedingly,quite; considerably; by no means (with negative),by no means; cannot possibly
____時間をかけて選んだだけあって、彼のプレゼントはセンスがよかった。,わざわざ,たっぷり,じっくり,つくづく,わざわざ,taking the trouble to; going out of one’s way to,plenty; full; ample,deliberately; carefully; without rushing,deeply; keenly; thoroughly
こんなに苦しむくらいなら、____手術を受けたほうがいいと思う。,いっそ,いっこうに,いっしんに,いったい,いっそ,rather; sooner; preferably (drastic alternative),(not) at all; (not) in the least (negative),wholeheartedly; with all one’s heart,(what) on earth; really; actually
彼は遅れると思っていたが、____時間通りに来た。,てっきり,きっかり,じっくり,きっちり,てっきり,surely; certainly (smth was assumed without doubt),exactly; precisely (used for exact amounts or times),carefully; thoroughly,precisely; tightly; neatly
昨日は疲れていて、____眠れました。,ぐっすり,ぐったり,げったり,こっそり,ぐっすり,soundly; deeply (sleep),exhausted; limp,exhausted (less common variant),secretly; quietly
会議の時間は____連絡しておきます。,あらかじめ,あしからず,あいかわらず ,あいにく,あらかじめ,beforehand; in advance,please understand; sorry (when declining or apologizing),as usual; as always,unfortunately; sorry to say
彼は____鍵を忘れてしまった。,うっかりして,すっかり,すっきり,しっかり,うっかりして,carelessly; unintentionally,completely; entirely,refreshingly; neatly,firmly; reliably
問題が起きたら、____対処しよう。,とりあえず,とりあわず,とりあげず,とらわれず,とりあえず,for the time being; first of all,(not a standard phrase),without taking up (something),without being bound; freely
