Sentence,Option 1,Option 2,Option 3,Option 4,Correct answer,Meaning 1,Meaning 2,Meaning 3,Meaning 4
彼女は自分の美しさに____いるようだった。,うぬぼれて,ひやかして,おもむいて,あつらえて,うぬぼれて,being conceited; being full of oneself,teasing; making fun of; window-shopping,going to; proceeding toward (a place or situation),ordering; having something made to order
警察は交通違反を____ためにパトロールを強化した。,取り締まる,取り消す,取り組む,取り上げる,取り締まる,crack down on; control; enforce regulations,cancel; revoke; withdraw,tackle; wrestle with; engage in,take up; adopt; confiscate; bring up (a topic)
彼は緊張すると髪を____くせがある。,いじる,つねる,いためる,かぶれる,いじる,habit of fiddling with,pinch,injure; damage,develop a rash; be influenced
役作りのためにひげを____ことにした。,生やす,ほどこす,丸める,もうける,生やす,grow,give; donate; carry out (a treatment or measure),roll up; make round,earn; gain; set up
使い方を____と、機械が故障する可能性がある。,あやまる,ことなる,まぎれる,くいちがう,あやまる,make a mistake (in usage),differ,get mixed up; be distracted,be inconsistent; conflict
アルバムを見ていると、思い出が____。,よみがえる,こぼれる,さかのぼる,かえりみる,よみがえる,memories come back,"spill; overflow (with tears etc.)",go back (in time); trace back,look back; reflect on
成功はチーム全員の働きに____ところが大きい。,負う,おどす,借りる,おかす,負う,owe to someone's work or efforts,threaten,borrow,commit (a crime); infringe
この部屋には最新の空気清浄機が____いる。,備わって,すえつけて,すえて,備えつけて,備わって,be equipped with; possess,install; set up (past tense or te-form),install; place (te-form),equip; furnish (te-form or past tense)
説明を聞いていくうちに、理解が____。,深まった,強まった,広まった,早まった,深まった,deepened,intensified,spread,hastened
引っ越しの準備で、____の整理をしている。,身の回り,身の上,身近,身分,身の回り,personal belongings; things around oneself,one’s personal circumstances; one’s life story,close to oneself; familiar,social status; rank
警察は飲酒運転の____を強化している。,取り締まり,取り扱い,取り引き,引き取り,取り締まり,"crackdown; enforcement (e.g. of laws)",handling; treatment,transaction; business deal,collection; taking back
料理の____をつかむには、何度も作ってみることが大切だ。,こつ,うで,かん,のう,こつ,knack; trick; know-how,skill; ability; arm,intuition; sixth sense,brain; ability
このプロジェクトの費用を____、予算案を提出してください。,見積もって,見計らって,見込んで,見通して,見積もって,estimate,choose/decide at one's discretion,anticipate; expect,foresee; see through
二人の関係は、ちょっとした誤解から____しまった。,こじれる,みだれる,ねじれる,はずれる,こじれる,to become complicated; to worsen,to be disordered; to be disturbed,to be twisted,to be disconnected; to be off
彼は、自分の気持ちを____に話した。,ありのまま,ありかた,ありさま,ありよう,ありのまま,just as it is; honestly,the way something ought to be,state; condition,possible state or way something can be
人の列に____、文句を言われた。,わりこんだら,おしこんだら,のりこんだら,ふみこんだら,わりこんだら,if you cut in (line),if you force your way in,if you barge in or board (forcefully),if you step into or intrude
信念を____彼の生き方に、心を打たれた。,つらぬいた,はたした,うちこんだ,やりとげた,つらぬいた,carried through,accomplished,devoted oneself,completed
この計画には成功の____があると思う。,見込み,見合い,見積もり,見晴らし,見込み,prospect; expectation,arranged meeting (marriage etc.); matching,estimate; quotation,view; outlook
健康のために、早寝早起きを____いる。,こころがけて,いどんで,とりくんで,はかどって,こころがけて,to keep in mind; to make an effort,to challenge; to tackle,to tackle (a task); to engage in,to make progress; to go smoothly
生活習慣を____ことで、体調がよくなった。,あらためた,おさめた,うちきった,おいだした,あらためた,revised; changed; corrected,achieved; obtained; settled,discontinued; ended abruptly,drove out; expelled
年を取ると、新しい考えが____にくくなる。,うけいれ,うけあい,うけとり,うけもち,うけいれ,acceptance,guarantee; assurance,receipt,in charge of; responsible for
彼は新しい説を____が、専門家たちの間では賛否が分かれている。,となえた,かなえた,かまえた,とらえた,となえた,advocated; proposed,fulfilled; granted,took a stance; prepared,captured; grasped
国際的な介入によって紛争を____が見えてきた。,おさまり,さだまり,まとまり,よわまり,おさまり,settlement; subsiding,decision; conclusion,coherence; unity,weakening
今の職場は前よりも時間の____があって、気持ちに余裕が持てる。,ゆとり,たるみ,なさけ,のぞみ,ゆとり,leeway; room; mental composure,slack; looseness; sag,compassion; sympathy,hope; wish
成功の秘訣は、最後まであきらめない____にある。,ねばり,はげみ ,はずみ ,むすび,ねばり ,persistence; tenacity,encouragement; motivation,momentum; impulse,connection; conclusion; knot
事件解決の____をつかんだ。,てがかり,めど,きざし,しかけ,てがかり,clue; lead,prospect; goal; aim,sign; indication,mechanism; trick; device
